URL_ID,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
Netclan20241144,8,3,0.4545454132,0.04824561382,22.8,0.1710526316,9.188421053,22.8,39,228,1.701754386,1,5.456140351
Netclan20241145,13,2,0.7333332844,0.0364077669,17.91304348,0.2111650485,7.249683411,17.91304348,87,412,1.720873786,12,5.587378641
Netclan20241146,10,4,0.428571398,0.0320366132,23,0.1670480549,9.266819222,23,73,437,1.574370709,8,5.215102975
Netclan20241147,7,0,0.9999998571,0.02052785918,22.73333333,0.1818181818,9.166060606,22.73333333,62,341,1.656891496,1,5.384164223
Netclan20241148,5,1,0.6666665556,0.01769911499,22.6,0.1710914454,9.108436578,22.6,58,339,1.566371681,8,5.324483776
Netclan20241149,4,0,0.99999975,0.01702127652,23.5,0.2170212766,9.486808511,23.5,51,235,1.680851064,0,5.459574468
Netclan20241150,3,4,-0.1428571224,0.0278884461,25.1,0.1553784861,10.10215139,25.1,39,251,1.581673307,0,5.394422311
Netclan20241151,5,0,0.9999998,0.02415458926,23,0.2367149758,9.29468599,23,49,207,1.763285024,0,5.700483092
Netclan20241152,5,0,0.9999998,0.02403846142,26,0.2019230769,10.48076923,26,42,208,1.692307692,0,5.538461538
Netclan20241153,3,1,0.499999875,0.0167364016,17.07142857,0.1924686192,6.905558876,17.07142857,46,239,1.677824268,0,5.430962343
Netclan20241154,8,3,0.4545454132,0.04247104231,25.9,0.1505791506,10.42023166,25.9,39,259,1.544401544,0,5.073359073
Netclan20241155,10,3,0.538461497,0.05349794217,20.25,0.1893004115,8.175720165,20.25,46,243,1.670781893,0,5.345679012
Netclan20241156,17,1,0.8888888395,0.05099150127,18.57894737,0.1926345609,7.508632772,18.57894737,68,353,1.634560907,2,5.42776204
Netclan20241157,11,9,0.099999995,0.0235017626,17.36734694,0.169212691,7.014623852,17.36734694,144,851,1.682726204,6,5.55346651
Netclan20241158,11,7,0.2222222099,0.03377110688,21.32,0.2720450281,8.636818011,21.32,145,533,1.936210131,2,5.954971857
Netclan20241159,12,8,0.19999999,0.02424242421,23.57142857,0.2254545455,9.518753247,23.57142857,186,825,1.813333333,3,5.610909091
Netclan20241160,20,17,0.08108107889,0.02899686518,19.63076923,0.1739811912,7.921900169,19.63076923,222,1276,1.71630094,5,5.469435737
Netclan20241161,9,10,-0.05263157618,0.05053191476,22.11764706,0.1143617021,8.892803504,22.11764706,43,376,1.486702128,14,4.984042553
Netclan20241162,1,0,0.999999,0.08333332639,6,0.08333333333,2.433333333,6,1,12,1.75,0,5.5
Netclan20241163,2,0,0.9999995,0.01652892548,17.28571429,0.2148760331,7.000236128,17.28571429,26,121,1.702479339,1,5.462809917
